conf,conf_float,mrs,mrs_err20
conf0,0.0,76.00667806678068,15.201335613356136
conf1,1.0,41.42956529565295,8.285913059130591
conf2,2.0,44.75154891548916,8.950309783097833
conf3,3.0,50.538138781387815,10.107627756277564
conf4,4.0,40.379065790657904,8.07581315813158
conf5,5.0,39.52426924269243,7.904853848538486
conf6,6.0,22.468084680846808,4.493616936169362
conf7,7.0,10.870756907569076,2.1741513815138154
conf8,8.0,7.215345603456035,1.443069120691207
conf9,9.0,2.220685806858069,0.4441371613716138
conf10,10.0,2.9786940869408696,0.5957388173881739
