conf,wide,sum_sim,sum_obs,rms_obs,max_sim,max_obs,sum_fit_sim,sum_fit_obs,errl_fit_sim,errh_fit_sim,errl_fit_obs,errh_fit_obs,sum_mask10_sim,sum_mask10_obs,sum_mask50_sim,sum_mask50_obs,rchi2_sim,rchi2_obs,conf_,wide_
conf7,0.7mrs0,527.0656127929688,530.9568481445312,0.00023533015908864575,1.0,1.6929723024368286,527.0656127929688,532.975341796875,527.0656127929688,527.0656127929688,530.9879760742188,534.9676513671875,473.9162292480469,456.07733154296875,263.3645324707031,233.4931640625,5.053360735773149e-16,0.00014395680988488768,7.0,0.7
conf7,1.3mrs0,2108.2626953125,2059.35498046875,0.0006754555860598476,1.0,1.884847640991211,2108.2626953125,2082.131103515625,2108.2626953125,2108.2626953125,2069.366943359375,2094.947265625,1897.691650390625,1863.77783203125,1055.9869384765625,1022.7466430664062,4.817053539132849e-16,0.0007871850280547514,7.0,1.3
conf7,2.0mrs0,4743.59033203125,4459.04248046875,0.0011544459829013441,1.0,1.9080723524093628,4743.59033203125,4529.97900390625,4743.59033203125,4743.59033203125,4494.45703125,4565.68701171875,4267.876953125,4117.51953125,2376.30078125,2307.3671875,5.75858872859108e-16,0.0019471561334696008,7.0,2.0
conf7,2.6mrs0,8433.046875,7572.11376953125,0.0015725380730605765,1.0,1.8964003324508667,8433.046875,7736.2666015625,8433.046875,8433.046875,7669.162109375,7803.76025390625,7590.0712890625,7116.078125,4216.32666015625,4040.5859375,5.296226761717429e-16,0.0031767013230951466,7.0,2.6
conf7,3.3mrs0,13176.6376953125,11224.4248046875,0.002044365410007692,1.0,1.8780215978622437,13176.6376953125,11509.537109375,13176.6376953125,13176.6376953125,11400.5302734375,11619.236328125,11859.837890625,10696.763671875,6588.14306640625,6197.4638671875,5.59947200160563e-16,0.0047305512956870915,7.0,3.3
conf7,3.9mrs0,18974.361328125,15170.31640625,0.002466257668142167,1.0,1.8321785926818848,18974.361328125,15615.9716796875,18974.361328125,18974.361328125,15459.189453125,15773.802734375,17075.21875,14655.404296875,9489.6953125,8652.138671875,5.436653880177071e-16,0.006382224789557477,7.0,3.9
conf7,4.6mrs0,25826.212890625,19146.103515625,0.00283484712281166,1.0,1.7739551067352295,25826.212890625,19769.50390625,25826.212890625,25826.212890625,19562.544921875,19977.9140625,23244.1953125,18703.94921875,12914.9404296875,11279.3740234375,5.376987212450577e-16,0.008083992976843516,7.0,4.6
conf7,5.2mrs0,33732.203125,22700.189453125,0.003217249909757506,1.0,1.686787724494934,33732.203125,23507.82421875,33732.203125,33732.203125,23247.943359375,23769.63671875,30360.75,22400.498046875,16857.8984375,13894.939453125,5.475517317396612e-16,0.01027978742022024,7.0,5.2
conf7,5.9mrs0,42692.31640625,25306.748046875,0.0038011324507119253,1.0,1.579716682434082,42692.31640625,26259.20703125,42692.31640625,42692.31640625,25943.212890625,26577.74609375,38422.1171875,25163.744140625,21340.60546875,16184.3935546875,5.483490187889617e-16,0.01365211190039606,7.0,5.9
conf7,6.5mrs0,52706.546875,26263.80078125,0.004697777057564899,1.0,1.442681074142456,52706.546875,27288.03125,52706.546875,52706.546875,26911.64453125,27667.91796875,47436.671875,26211.17578125,26345.08203125,17744.89453125,5.461830690717885e-16,0.019836532138281068,7.0,6.5
conf7,7.2mrs0,63774.9453125,24886.609375,0.0057247445999341895,1.0,1.2606948614120483,63774.9453125,25893.49609375,63774.9453125,63774.9453125,25448.650390625,26343.5078125,57399.2265625,24668.3359375,31895.271484375,18055.21875,5.577221315605173e-16,0.032290860352723626,7.0,7.2
conf7,7.8mrs0,75897.4765625,21851.357421875,0.006557495641104452,1.0,1.0555095672607422,75897.4765625,22736.70703125,75897.4765625,75897.4765625,22228.63671875,23252.466796875,68309.7734375,20991.478515625,37961.17578125,17103.548828125,5.519854429794353e-16,0.05359807493648406,7.0,7.8
conf7,8.5mrs0,89074.0078125,18048.794921875,0.006998751107806591,1.0,0.8498018980026245,89074.0234375,18740.193359375,89074.0234375,89074.0234375,18190.203125,19301.18359375,80168.3203125,16122.509765625,44552.80859375,15167.119140625,5.587937482409055e-16,0.08930882291128471,7.0,8.5
conf7,9.1mrs0,103304.875,14319.966796875,0.007102558217016533,1.0,0.6635977625846863,103304.875,14821.1484375,103304.875,103304.875,14252.791015625,15404.416015625,92976.03125,11213.416015625,51646.19921875,12736.37109375,5.524594426440416e-16,0.14399891354070374,7.0,9.1
conf7,9.8mrs0,118589.703125,11035.306640625,0.007056041779152485,1.0,0.5105538964271545,118589.703125,11395.5712890625,118589.703125,118589.703125,10830.5947265625,11979.8603515625,106726.9765625,6938.85205078125,59289.3125,10210.4111328125,5.655875814131718e-16,0.2205023915369441,7.0,9.8
