conf,wide,sum_sim,sum_obs,conf_,wide_,sum_obs/sum_sim
conf1,2.9mrs0,25.0,20.2935791015625,1.0,2.9,0.8117431640625
conf1,5.7mrs0,109.0,87.64529418945312,1.0,5.7,0.8040852677931479
conf1,8.6mrs0,241.0,189.29461669921875,1.0,8.6,0.7854548410755965
conf1,11.4mrs0,437.0,340.8389892578125,1.0,11.4,0.7799519204984268
conf1,14.2mrs0,673.0,521.3446044921875,1.0,14.2,0.7746576589779903
conf1,17.1mrs0,981.0,745.7977294921875,1.0,17.1,0.7602423338350535
conf1,19.9mrs0,1353.0,1006.7957763671875,1.0,19.9,0.7441210468345806
conf1,22.8mrs0,1757.0,1274.41796875,1.0,22.8,0.7253374893284007
conf1,25.7mrs0,2217.0,1546.878173828125,1.0,25.7,0.697734855132217
conf1,28.5mrs0,2733.0,1835.74658203125,1.0,28.5,0.6716965173916026
conf1,31.4mrs0,3313.0,2109.82177734375,1.0,31.4,0.636831203544748
conf1,34.2mrs0,3945.0,2251.0830078125,1.0,34.2,0.5706167320183777
conf1,37.1mrs0,4637.0,2242.14501953125,1.0,37.1,0.4835335388249407
conf1,39.9mrs0,5377.0,2091.51513671875,1.0,39.9,0.38897436055769946
conf1,42.8mrs0,6149.0,1469.8974609375,1.0,42.8,0.23904658658928282
conf2,2.9mrs0,61.0,48.67298126220703,2.0,2.9,0.7979177256099513
conf2,5.7mrs0,241.0,188.61175537109375,2.0,5.7,0.7826213915813018
conf2,8.6mrs0,529.0,408.28582763671875,2.0,8.6,0.7718068575363304
conf2,11.4mrs0,949.0,725.8009033203125,2.0,11.4,0.7648060098211934
conf2,14.2mrs0,1481.0,1118.288818359375,2.0,14.2,0.7550903567585247
conf2,17.1mrs0,2129.0,1580.255126953125,2.0,17.1,0.7422522907248121
conf2,19.9mrs0,2885.0,2100.49951171875,2.0,19.9,0.7280760872508666
conf2,22.8mrs0,3777.0,2683.34912109375,2.0,22.8,0.7104445647587371
conf2,25.7mrs0,4785.0,3291.24609375,2.0,25.7,0.6878257249216301
conf2,28.5mrs0,5909.0,3910.98974609375,2.0,28.5,0.6618699858002624
conf2,31.4mrs0,7145.0,4492.9765625,2.0,31.4,0.6288280703289013
conf2,34.2mrs0,8521.0,4913.029296875,2.0,34.2,0.5765789575020538
conf2,37.1mrs0,9997.0,4921.55078125,2.0,37.1,0.4923027689556867
conf2,39.9mrs0,11561.0,4696.1962890625,2.0,39.9,0.40621021443322375
conf2,42.8mrs0,13293.0,3116.85693359375,2.0,42.8,0.23447355251589183
conf3,2.9mrs0,149.0,123.59054565429688,3.0,2.9,0.8294667493576972
conf3,5.7mrs0,621.0,502.7744445800781,3.0,5.7,0.8096206837038296
conf3,8.6mrs0,1389.0,1106.06591796875,3.0,8.6,0.7963037566369691
conf3,11.4mrs0,2477.0,1946.17578125,3.0,11.4,0.7856987409164312
conf3,14.2mrs0,3877.0,3012.149169921875,3.0,14.2,0.7769278230389154
conf3,17.1mrs0,5581.0,4289.0,3.0,17.1,0.7685002687690378
conf3,19.9mrs0,7597.0,5753.97265625,3.0,19.9,0.7574006392325918
conf3,22.8mrs0,9925.0,7397.388671875,3.0,22.8,0.7453288334382872
conf3,25.7mrs0,12565.0,9175.216796875,3.0,25.7,0.7302201987166733
conf3,28.5mrs0,15525.0,11039.5341796875,3.0,28.5,0.7110811065821256
conf3,31.4mrs0,18773.0,12920.0029296875,3.0,31.4,0.6882226031900869
conf3,34.2mrs0,22341.0,14719.693359375,3.0,34.2,0.6588645700449846
conf3,37.1mrs0,26221.0,16115.2685546875,3.0,37.1,0.6145939725673124
conf3,39.9mrs0,30381.0,16905.37890625,3.0,39.9,0.5564457689427603
conf3,42.8mrs0,34885.0,16877.17578125,3.0,42.8,0.4837946332592805
conf4,2.9mrs0,373.0,343.0863037109375,4.0,2.9,0.9198024228175268
conf4,5.7mrs0,1481.0,1304.338134765625,4.0,5.7,0.8807144731705773
conf4,8.6mrs0,3341.0,2867.46484375,4.0,8.6,0.8582654426070039
conf4,11.4mrs0,5957.0,5025.6142578125,4.0,11.4,0.8436485240578311
conf4,14.2mrs0,9265.0,7691.4267578125,4.0,14.2,0.8301593910213168
conf4,17.1mrs0,13373.0,10916.4931640625,4.0,17.1,0.8163084696076048
conf4,19.9mrs0,18197.0,14735.3779296875,4.0,19.9,0.8097696284930208
conf4,22.8mrs0,23717.0,18979.2421875,4.0,22.8,0.800237896340178
conf4,25.7mrs0,30041.0,23472.970703125,4.0,25.7,0.7813644919651477
conf4,28.5mrs0,37065.0,27986.6015625,4.0,28.5,0.7550681657223796
conf4,31.4mrs0,44885.0,32009.39453125,4.0,31.4,0.7131423533752924
conf4,34.2mrs0,53457.0,36572.9140625,4.0,34.2,0.6841557525207176
conf4,37.1mrs0,62697.0,38797.6171875,4.0,37.1,0.6188113815254318
conf4,39.9mrs0,72749.0,42354.2109375,4.0,39.9,0.5821964691954529
conf4,42.8mrs0,83445.0,38584.26953125,4.0,42.8,0.4623916295913476
conf5,2.9mrs0,1049.0,1061.637939453125,5.0,2.9,1.0120476067236654
conf5,5.7mrs0,4197.0,3761.81005859375,5.0,5.7,0.896309282486002
conf5,8.6mrs0,9449.0,8203.2734375,5.0,8.6,0.8681631323420468
conf5,11.4mrs0,16841.0,14054.478515625,5.0,11.4,0.8345394285152307
conf5,14.2mrs0,26317.0,20608.216796875,5.0,14.2,0.7830762167752784
conf5,17.1mrs0,37889.0,27646.984375,5.0,17.1,0.7296836647839743
conf5,19.9mrs0,51577.0,36384.41015625,5.0,19.9,0.7054386675504586
conf5,22.8mrs0,67373.0,47801.984375,5.0,22.8,0.7095124808899708
conf5,25.7mrs0,85217.0,59365.50390625,5.0,25.7,0.6966392140799371
conf5,28.5mrs0,105233.0,64406.85546875,5.0,28.5,0.6120404765496564
conf5,31.4mrs0,127365.0,57654.58203125,5.0,31.4,0.4526721001158089
conf5,34.2mrs0,151537.0,59204.98046875,5.0,34.2,0.3906965326537413
conf5,37.1mrs0,177853.0,44830.28515625,5.0,37.1,0.2520636995510337
conf5,39.9mrs0,206293.0,20935.5546875,5.0,39.9,0.1014845617034994
conf5,42.8mrs0,236785.0,12571.130859375,5.0,42.8,0.05309090888094685
conf6,2.9mrs0,3341.0,2913.28125,6.0,2.9,0.8719788237054774
conf6,5.7mrs0,13373.0,9736.5810546875,6.0,5.7,0.7280775483950871
conf6,8.6mrs0,30041.0,18078.05859375,6.0,8.6,0.6017795211128125
conf6,11.4mrs0,53457.0,29351.94921875,6.0,11.4,0.5490758781590811
conf6,14.2mrs0,83445.0,45721.1171875,6.0,14.2,0.5479191945293307
