conf,wide,sum_sim,sum_obs,rms_obs,sum_fit_sim,sum_fit_obs,conf_,wide_,sum_obs/sum_sim,sum_fit_obs/sum_fit_sim
conf1,2.9mrs0,25.0,20.313304901123047,0.0004736814668199006,28.416379276671243,20.613785592552247,1.0,2.9,0.8125321960449219,0.7254191461850094
conf1,5.7mrs0,109.0,87.70692443847656,0.0016192428149219447,124.09400750787947,91.80624157759792,1.0,5.7,0.8046506829218033,0.7398120458940661
conf1,8.6mrs0,241.0,189.84202575683594,0.0031226291359768496,274.4906983561038,202.73555609794025,1.0,8.6,0.7877262479536761,0.7385880735198037
conf1,11.4mrs0,437.0,341.7405090332031,0.004038283644080793,497.66785903572304,370.7341551463709,1.0,11.4,0.7820148948128218,0.7449429341583405
conf1,14.2mrs0,673.0,522.1912231445312,0.004877287551625852,766.412655345572,570.3636519665448,1.0,14.2,0.775915636173152,0.7441991569272436
conf1,17.1mrs0,981.0,747.5018920898438,0.006287246438806122,1117.0755691200884,815.9013244307101,1.0,17.1,0.7619795026400038,0.7303904471506696
conf1,19.9mrs0,1353.0,1009.1609497070312,0.007632470864726281,1540.6428231647692,1096.7462637958329,1.0,19.9,0.7458691424294392,0.711875749073955
conf1,22.8mrs0,1757.0,1277.2491455078125,0.009061762755891694,2000.730152881377,1379.20677841054,1.0,22.8,0.7269488591393355,0.6893517231318065
conf1,25.7mrs0,2217.0,1552.47216796875,0.011154700759143885,2524.521751524747,1663.7972585385169,1.0,25.7,0.7002580820788228,0.6590544357693198
conf1,28.5mrs0,2733.0,1842.38427734375,0.013305884243744877,3112.0582288050305,1962.6258340222098,1.0,28.5,0.6741252386914562,0.630652028248141
conf1,31.4mrs0,3313.0,2121.37353515625,0.016127098571384856,3772.49430053861,2238.7822688392635,1.0,31.4,0.6403180003490039,0.5934488140961872
conf1,34.2mrs0,3945.0,2266.029296875,0.02082329187323994,4492.12000266737,2338.364200860699,1.0,34.2,0.5744053984474018,0.5205480262041542
conf1,37.1mrs0,4637.0,2269.5439453125,0.026908608768654342,5280.103497173183,2253.9907710966727,1.0,37.1,0.48944230004582706,0.42688382383099027
conf1,39.9mrs0,5377.0,2131.66064453125,0.03453967675997071,6122.756638156398,1997.4784924478677,1.0,39.9,0.3964405141400874,0.3262384266589634
conf1,42.8mrs0,6149.0,1782.4537353515625,0.04470149524402918,7001.581244586671,1488.9682911273733,1.0,42.8,0.28987701014011424,0.21266171727687672
