conf,wide,sum_sim,sum_obs,conf_,wide_,sum_obs/sum_sim
conf1,2.9mrs0,39.46848396588047,31.116283416748047,1.0,2.9,0.7883830411030559
conf1,5.7mrs0,157.87393586352192,113.44781494140625,1.0,5.7,0.7185974956593155
conf1,8.6mrs0,355.2163556929244,232.52505493164062,1.0,8.6,0.6546012062931378
conf1,11.4mrs0,631.4957434540878,366.8507080078125,1.0,11.4,0.5809234849331711
conf1,14.2mrs0,986.7120991470119,487.66888427734375,1.0,14.2,0.49423624651904174
conf1,17.1mrs0,1420.8654227716977,572.1980590820312,1.0,17.1,0.40271094637931176
conf1,19.9mrs0,1933.9557143281443,597.4835815429688,1.0,19.9,0.30894377628007597
conf1,22.8mrs0,2525.9829738163503,563.7967529296875,1.0,22.8,0.22319895215995147
conf1,25.7mrs0,3196.947201236318,479.49847412109375,1.0,25.7,0.14998636009242283
conf1,28.5mrs0,3946.848396587128,359.83319091796875,1.0,28.5,0.0911697523596598
conf1,31.4mrs0,4775.686559726243,235.71763610839844,1.0,31.4,0.04935785319250736
conf1,34.2mrs0,5683.461683974432,115.89923095703125,1.0,34.2,0.020392366026471244
conf1,37.1mrs0,6670.173637930244,12.757067680358887,1.0,37.1,0.0019125540612339152
conf1,39.9mrs0,7735.821070963587,0.0,1.0,39.9,0.0
conf1,42.8mrs0,8880.395521508684,0.0,1.0,42.8,0.0
conf2,2.9mrs0,85.23700344419751,65.52218627929688,2.0,2.9,0.7687058863137132
conf2,5.7mrs0,340.94801377679005,235.07571411132812,2.0,5.7,0.6894767079218892
conf2,8.6mrs0,767.133030997778,476.13092041015625,2.0,8.6,0.6206627809923301
conf2,11.4mrs0,1363.7920551071597,748.1923828125,2.0,11.4,0.5486117770012312
conf2,14.2mrs0,2130.925086104938,992.4208984375,2.0,14.2,0.46572303499017886
conf2,17.1mrs0,3068.532123991113,1147.42529296875,2.0,17.1,0.37393295771541124
conf2,19.9mrs0,4176.61316876568,1182.46142578125,2.0,19.9,0.2831149014766681
conf2,22.8mrs0,5455.168220428641,1097.94970703125,2.0,22.8,0.2012678001238573
conf2,25.7mrs0,6904.197278979996,909.1605224609375,2.0,25.7,0.13168229204992446
conf2,28.5mrs0,8523.70034441763,651.4132690429688,2.0,28.5,0.07642376464695812
conf2,31.4mrs0,10313.677416416405,383.6354675292969,2.0,31.4,0.037196768140009856
conf2,34.2mrs0,12274.128479870591,142.02969360351562,2.0,34.2,0.011571468706429337
conf2,37.1mrs0,14405.05323966976,0.0,2.0,37.1,0.0
conf2,39.9mrs0,16706.44868000326,0.0,2.0,39.9,0.0
conf2,42.8mrs0,19178.295998748166,0.0,2.0,42.8,0.0
conf3,2.9mrs0,223.61820483029405,174.99745178222656,3.0,2.9,0.7825724739854422
conf3,5.7mrs0,894.4728193211763,622.4656982421875,3.0,5.7,0.6959023066956719
conf3,8.6mrs0,2012.5638434726468,1265.673828125,3.0,8.6,0.6288862995476954
